N, batch_size, population, trace, rate, num_layers, emb_size, device, model_type, min_wclatency, total_time
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 0, 0, cpu, qor, 108.0, 150.5536687374115
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 10, 256, cuda, graph_sage_class_reg, 109.0, 5.241491079330444
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 10, 256, cuda, graph_sage_class_reg_hybrid, 108.0, 43.564228773117065
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 10, 256, cpu, graph_sage_class_reg, 109.0, 69.50803756713867
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 10, 256, cpu, graph_sage_class_reg_hybrid, 108.0, 108.70094466209412
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 15, 128, cuda, graph_sage_class_reg, 109.0, 3.768562078475952
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 15, 128, cuda, graph_sage_class_reg_hybrid, 108.0, 43.16325759887695
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 15, 128, cpu, graph_sage_class_reg, 109.0, 43.84657311439514
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 15, 128, cpu, graph_sage_class_reg_hybrid, 108.0, 83.39392948150635
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 20, 64, cuda, graph_sage_class_reg, 108.0, 4.826675891876221
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 20, 64, cuda, graph_sage_class_reg_hybrid, 108.0, 44.98401236534119
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 20, 64, cpu, graph_sage_class_reg, 108.0, 32.618911027908325
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.01, 20, 64, cpu, graph_sage_class_reg_hybrid, 108.0, 73.08261156082153
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 0, 0, cpu, qor, 42.0, 162.82369899749756
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 10, 256, cuda, graph_sage_class_reg, 43.0, 5.228604316711426
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 10, 256, cuda, graph_sage_class_reg_hybrid, 42.0, 46.44065523147583
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 10, 256, cpu, graph_sage_class_reg, 43.0, 73.73185443878174
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 10, 256, cpu, graph_sage_class_reg_hybrid, 42.0, 115.28247952461243
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 15, 128, cuda, graph_sage_class_reg, 43.0, 3.7151408195495605
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 15, 128, cuda, graph_sage_class_reg_hybrid, 42.0, 45.4700653553009
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 15, 128, cpu, graph_sage_class_reg, 43.0, 43.85998845100403
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 15, 128, cpu, graph_sage_class_reg_hybrid, 42.0, 85.83911848068237
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 20, 64, cuda, graph_sage_class_reg, 43.0, 4.77144980430603
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 20, 64, cuda, graph_sage_class_reg_hybrid, 42.0, 46.89121055603027
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 20, 64, cpu, graph_sage_class_reg, 43.0, 32.38234543800354
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.03, 20, 64, cpu, graph_sage_class_reg_hybrid, 42.0, 74.7740159034729
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.05, 0, 0, cpu, qor, 28.0, 171.61314868927002
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.05, 10, 256, cuda, graph_sage_class_reg, 28.0, 5.24116063117981
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.05, 10, 256, cuda, graph_sage_class_reg_hybrid, 28.0, 48.721747159957886
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.05, 10, 256, cpu, graph_sage_class_reg, 28.0, 73.32294082641602
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.05, 10, 256, cpu, graph_sage_class_reg_hybrid, 28.0, 116.85969281196594
3, 128, 512, /home/gsmalik/work/hoplite-ml/bench/random_3x3-1.dat, 0.05, 15, 128, cuda, graph_sage_class_reg, 28.0, 3.7277567386627197
