N, batch_size, limit, model_type, emb_size, num_layers, model_on_gpu, ratio_data, eval_gnn, eval_qor, total_items, time_spent, items_per_sec
3, 1, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127312, 861.5328364372253, 147.773821978144
3, 1, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127312, 915.5080089569092, 139.0615906736347
3, 1, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127312, 923.9807004928589, 137.78642771660788
3, 1, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127312, 1333.508278131485, 95.47147332177786
3, 1, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127312, 1423.9537200927734, 89.40740011670138
3, 2, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127312, 510.7472951412201, 249.26612673455003
3, 2, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127312, 453.3613746166229, 280.8179239081829
3, 2, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127312, 508.42402625083923, 250.4051607057385
3, 2, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127312, 670.973477602005, 189.74222417106694
3, 2, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127312, 953.2748475074768, 133.5522492100595
3, 4, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127312, 320.2238681316376, 397.57186353037434
3, 4, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127312, 228.84700918197632, 556.3192652378649
3, 4, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127312, 324.2543864250183, 392.63000079550216
3, 4, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127312, 331.161691904068, 384.4406014113497
3, 4, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127312, 711.4562816619873, 178.9456404862919
3, 8, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127312, 309.1881444454193, 411.7622304967591
3, 8, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127312, 116.0569896697998, 1096.9783066252403
3, 8, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127312, 202.89826726913452, 627.467162305171
3, 8, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127312, 168.13827347755432, 757.1863167549152
3, 8, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127312, 592.2631058692932, 214.958518837904
3, 16, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127312, 164.2582597732544, 775.0721344286991
3, 16, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127312, 58.134592056274414, 2189.9525823929703
3, 16, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127312, 135.31698274612427, 940.8427339741763
3, 16, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127312, 82.50311303138733, 1543.1175300205418
3, 16, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127312, 535.7234365940094, 237.64500729969302
3, 32, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127328, 137.4568350315094, 926.3126127617622
3, 32, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127328, 29.573649883270264, 4305.454365713213
3, 32, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127328, 99.40936827659607, 1280.8450773545135
3, 32, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127328, 42.41483974456787, 3001.9681971404143
3, 32, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127328, 506.08898425102234, 251.59211909825873
3, 64, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127360, 147.61249899864197, 862.7995655108563
3, 64, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127360, 15.801966428756714, 8059.756396408227
3, 64, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127360, 88.23647737503052, 1443.3939770587533
3, 64, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127360, 21.7358558177948, 5859.442621796027
3, 64, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127360, 490.24932050704956, 259.7861836264771
3, 128, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127360, 137.95282363891602, 923.2141585833564
3, 128, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127360, 13.908198833465576, 9157.188614067654
3, 128, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127360, 83.0623676776886, 1533.305678140574
3, 128, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127360, 10.96866750717163, 11611.255416095744
3, 128, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127360, 484.50623059272766, 262.86555663936934
3, 256, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 127488, 156.29244542121887, 815.701614088967
3, 256, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 127488, 14.951203346252441, 8526.939072897781
3, 256, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 127488, 86.45428323745728, 1474.6290782359342
3, 256, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 127488, 8.746980667114258, 14575.086518632943
3, 256, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 127488, 482.33826446533203, 264.3124325649747
4, 1, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64266, 477.80412340164185, 134.50281580340828
4, 1, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64266, 450.528297662735, 142.64586782539786
4, 1, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64266, 499.41303634643555, 128.68306456345607
4, 1, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64266, 666.0811491012573, 96.48373938628056
4, 1, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64266, 711.1046988964081, 90.37487742625943
4, 2, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64266, 393.42200207710266, 163.35131146886184
4, 2, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64266, 228.9490203857422, 280.700043580541
4, 2, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64266, 313.9456117153168, 204.70424685622257
4, 2, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64266, 336.32262563705444, 191.08437881117527
4, 2, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64266, 474.82627272605896, 135.34634389760677
4, 4, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64268, 201.607182264328, 318.778325643865
4, 4, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64268, 113.65308690071106, 565.4751819996358
4, 4, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64268, 198.3876965045929, 323.95154100956114
4, 4, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64268, 168.39936447143555, 381.64039515066787
4, 4, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64268, 351.8138163089752, 182.6761685321579
4, 8, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64272, 183.2134485244751, 350.80394216483535
4, 8, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64272, 57.55437922477722, 1116.717804373969
4, 8, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64272, 126.30040550231934, 508.8819766205718
4, 8, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64272, 85.06609153747559, 755.5536975821345
4, 8, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64272, 294.67673683166504, 218.1101931935522
4, 16, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64272, 125.90319800376892, 510.4874301769206
4, 16, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64272, 29.893810510635376, 2150.0102831364984
4, 16, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64272, 90.92079067230225, 706.9010236795001
4, 16, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64272, 42.99124097824097, 1495.0022036472453
4, 16, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64272, 265.5602102279663, 242.0242096691618
4, 32, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64288, 117.20189428329468, 548.5235575169646
4, 32, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64288, 15.437203407287598, 4164.484868395975
4, 32, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64288, 78.69221115112305, 816.9550589516319
4, 32, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64288, 21.82832384109497, 2945.164295160793
4, 32, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64288, 251.25032567977905, 255.8723051445341
4, 64, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64320, 120.96079397201538, 531.7425414294206
4, 64, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64320, 12.41382646560669, 5181.319408500089
4, 64, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64320, 70.85407519340515, 907.7812366392537
4, 64, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64320, 10.96456265449524, 5866.171048202288
4, 64, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64320, 244.46534419059753, 263.10477754201787
4, 128, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64384, 142.509916305542, 451.78610491890527
4, 128, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64384, 12.464400053024292, 5165.431125935197
4, 128, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64384, 78.03022408485413, 825.1161745990308
4, 128, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64384, 8.021483421325684, 8026.445561033083
4, 128, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64384, 241.22976756095886, 266.8990674367339
4, 256, 1000, graph_sage_class_reg, 256, 10, False, 0.3, True, False, 64512, 163.6072437763214, 394.31016934799504
4, 256, 1000, graph_sage_class_reg, 256, 10, True, 0.3, True, False, 64512, 14.555426597595215, 4432.161405056888
4, 256, 1000, graph_sage_class_reg, 128, 15, False, 0.3, True, False, 64512, 85.33992433547974, 755.9416123501225
4, 256, 1000, graph_sage_class_reg, 128, 15, True, 0.3, True, False, 64512, 8.572247505187988, 7525.680979341399
4, 256, 1000, graph_sage_class_reg, 128, 5, False, 0.3, False, True, 64512, 243.80163431167603, 264.60856253952693
